year,station,month,rainfall,stationindex,rain,sdrain,rainsd,period,rain3sd,latitude,longitude,_merge
2000,Barisal,9,245,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,8,203,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,11,10,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,7,389,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,6,286,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,10,171,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2001,Barisal,2,17,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,6,641,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,11,67,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,7,556,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,5,282,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,10,305,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,12,0,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,1,0,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,3,4,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,4,16,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,9,149,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2001,Barisal,8,191,2,2228,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,7,717,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,10,53,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,5,324,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,8,272,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,2,0,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,9,346,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,11,92,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,6,577,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,3,36,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,1,19,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,4,101,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2002,Barisal,12,0,2,2537,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,6,521,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,3,117,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,5,85,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,12,28,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,8,186,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,11,0,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,10,301,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,7,243,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,1,0,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,9,206,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,2,4,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2003,Barisal,4,104,2,1795,193.17441,329.83051,2001,204.2686,22.700001,90.360001,matched (3)
2004,Barisal,7,241,2,2529,193.17441,329.83051,2004,228.87883,22.700001,90.360001,matched (3)
